id,Gender,Age,City,Profession,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction
2,1,33,49,12,5,0.0,9,2,0
8,0,24,18,12,2,0.0,6,5,0
26,1,31,42,12,3,0.0,7,5,0
30,0,28,47,12,3,0.0,6,2,0
32,0,25,17,12,4,0.0,8,3,0
33,1,29,37,12,2,0.0,6,3,0
52,1,30,44,12,3,0.0,10,4,0
56,0,30,7,12,2,0.0,8,4,0
59,1,28,31,12,3,0.0,10,1,0
62,1,75,35,12,2,0.0,8,3,0
83,1,24,31,12,3,0.0,6,3,0
91,1,33,46,12,3,0.0,7,4,0
94,1,27,18,12,5,0.0,7,1,0
100,0,19,38,12,2,0.0,9,4,0
103,0,19,18,12,5,0.0,6,5,0
106,1,29,42,12,3,0.0,9,3,0
120,1,25,35,12,5,0.0,7,2,0
132,0,20,18,12,5,0.0,7,3,0
139,1,19,7,12,2,0.0,8,2,0
145,1,25,18,12,3,0.0,10,3,0
161,1,29,21,12,3,0.0,9,3,0
162,1,29,21,12,3,0.0,7,3,0
166,0,25,18,12,3,0.0,6,3,0
172,1,23,18,12,1,0.0,9,4,0
173,1,18,4,12,4,0.0,7,3,0
176,0,20,18,12,5,0.0,9,5,0
186,1,31,3,12,2,0.0,6,5,0
193,1,25,18,12,3,0.0,7,3,0
208,1,33,16,12,5,0.0,6,2,0
214,1,28,18,12,3,0.0,10,3,0
222,1,18,43,12,4,0.0,7,5,0
232,1,18,49,12,2,0.0,6,3,0
239,1,21,17,12,1,0.0,7,3,0
240,0,31,18,12,1,0.0,6,3,0
242,1,21,43,12,1,0.0,8,3,0
253,0,25,18,12,1,0.0,6,3,0
255,0,21,6,12,5,0.0,10,2,0
263,1,28,42,12,5,0.0,6,3,0
270,1,28,44,12,1,0.0,10,2,0
273,1,25,27,12,3,0.0,7,4,0
274,0,20,44,12,3,0.0,7,2,0
277,1,23,2,12,2,0.0,6,4,0
280,1,19,2,12,1,0.0,5,3,0
285,0,33,12,12,4,0.0,9,1,0
294,0,23,7,12,1,0.0,8,4,0
301,1,22,22,12,1,0.0,10,1,0
303,0,19,27,12,2,0.0,7,2,0
305,0,30,15,12,1,0.0,6,3,0
310,1,21,18,12,3,0.0,7,3,0
312,0,19,38,12,5,0.0,7,5,0
315,1,23,18,12,3,0.0,8,3,0
316,0,23,18,12,5,0.0,10,1,0
324,0,18,46,12,3,0.0,6,5,0
328,1,28,42,12,4,0.0,9,1,0
335,1,24,15,12,2,0.0,8,3,0
336,0,33,42,12,1,0.0,10,1,0
337,0,20,18,12,3,0.0,8,2,0
340,1,23,18,12,5,0.0,8,1,0
343,1,23,37,12,5,0.0,6,1,0
347,0,24,23,12,3,0.0,6,1,0
348,1,25,17,12,5,0.0,9,1,0
351,0,24,18,12,4,0.0,8,3,0
367,0,24,21,12,3,0.0,5,4,0
370,1,31,35,12,1,0.0,7,5,0
381,1,20,44,12,5,0.0,9,4,0
385,1,21,23,12,2,0.0,7,5,0
392,1,25,19,12,1,0.0,9,3,0
398,1,19,18,12,2,0.0,7,4,0
407,0,34,43,12,3,0.0,10,3,0
408,1,24,2,12,1,0.0,9,4,0
414,1,33,15,12,5,0.0,8,3,0
420,1,32,36,12,3,0.0,9,5,0
421,1,18,6,12,3,0.0,7,4,0
423,0,31,16,12,1,0.0,8,4,0
425,0,25,18,12,3,0.0,9,5,0
429,1,20,43,12,1,0.0,9,4,0
441,1,31,12,12,2,0.0,8,1,0
447,1,24,43,12,5,0.0,5,1,0
454,1,24,22,12,5,0.0,9,2,0
455,0,23,18,12,5,0.0,6,2,0
457,0,25,47,12,2,0.0,9,1,0
464,1,25,42,12,2,0.0,6,3,0
467,0,25,12,12,1,0.0,8,2,0
475,0,28,18,12,2,0.0,6,1,0
477,0,20,3,12,4,0.0,7,4,0
484,0,24,10,12,1,0.0,7,5,0
487,1,23,23,12,1,0.0,10,4,0
491,1,19,18,12,3,0.0,9,1,0
494,0,24,18,12,3,0.0,6,3,0
503,0,34,43,12,2,0.0,9,5,0
508,0,25,12,12,2,0.0,7,4,0
509,1,28,35,12,1,0.0,9,2,0
510,0,27,6,12,3,0.0,9,1,0
522,1,22,18,12,2,0.0,10,4,0
523,1,27,21,12,4,0.0,7,1,0
525,0,34,15,12,3,0.0,5,3,0
529,1,22,31,12,4,0.0,6,3,0
530,1,23,22,12,3,0.0,8,2,0
534,1,24,18,12,3,0.0,10,1,0
535,1,21,18,12,5,0.0,8,1,0
538,1,26,48,12,4,0.0,10,2,0
539,0,24,21,12,5,0.0,9,1,0
541,1,34,21,12,2,0.0,8,5,0
543,0,29,2,12,5,0.0,5,1,0
556,1,33,49,12,1,0.0,9,3,0
580,1,21,36,12,1,0.0,9,3,0
587,0,33,9,12,2,0.0,6,5,0
589,1,28,22,12,4,0.0,7,2,0
592,1,27,18,12,2,0.0,9,1,0
594,1,33,27,12,2,0.0,10,3,0
595,0,18,9,12,5,0.0,10,5,0
598,0,20,21,12,5,0.0,5,4,0
608,0,19,30,12,3,0.0,7,4,0
609,1,21,3,0,5,0.0,8,1,0
611,1,32,48,12,2,0.0,8,1,0
617,1,32,9,12,3,0.0,6,3,0
620,1,33,38,12,3,0.0,10,1,0
623,0,23,4,12,5,0.0,6,1,0
626,1,24,18,12,3,0.0,7,3,0
632,0,20,42,12,4,0.0,9,3,0
658,0,24,3,12,5,0.0,8,2,0
660,1,22,7,12,5,0.0,9,1,0
662,1,26,35,12,5,0.0,6,4,0
668,0,18,48,12,5,0.0,9,4,0
671,1,26,48,12,3,0.0,7,3,0
673,1,33,22,12,1,0.0,6,3,0
676,0,19,49,12,3,0.0,6,1,0
681,1,26,17,12,3,0.0,5,3,0
683,0,34,22,12,3,0.0,8,2,0
687,0,22,37,12,1,0.0,6,4,0
688,0,28,43,12,2,0.0,8,3,0
695,1,31,22,12,5,0.0,10,5,0
696,0,18,47,12,3,0.0,10,4,0
697,1,32,44,12,2,0.0,9,3,0
701,0,19,17,12,3,0.0,5,4,0
707,1,20,30,12,5,0.0,9,2,0
708,1,28,31,12,2,0.0,8,2,0
709,1,19,6,12,2,0.0,9,4,0
710,1,34,37,12,3,0.0,9,3,0
712,1,20,46,12,3,0.0,9,5,0
713,1,18,43,12,1,0.0,5,5,0
714,0,29,36,12,3,0.0,9,5,0
716,1,24,21,12,1,0.0,10,4,0
724,1,33,18,12,4,0.0,7,3,0
728,1,34,35,12,1,0.0,6,4,0
733,0,29,2,12,1,0.0,10,2,0
735,1,27,22,12,4,0.0,8,2,0
737,0,31,42,12,3,0.0,10,3,0
744,1,30,23,12,5,0.0,6,3,0
746,0,31,44,12,4,0.0,9,3,0
749,1,26,38,12,2,0.0,6,3,0
750,1,21,36,12,4,0.0,6,1,0
754,0,34,22,12,3,0.0,6,3,0
758,1,24,18,12,1,0.0,6,2,0
759,1,21,47,12,3,0.0,8,2,0
763,0,31,31,12,5,0.0,6,2,0
764,1,20,22,12,5,0.0,5,4,0
770,1,34,18,12,4,0.0,8,3,0
774,0,30,23,12,4,0.0,6,5,0
777,1,30,18,12,1,0.0,6,5,0
779,1,20,4,12,5,0.0,10,1,0
781,0,75,17,12,1,0.0,10,1,0
785,1,18,2,12,5,0.0,5,4,0
793,0,27,18,12,3,0.0,6,4,0
796,1,26,27,12,5,0.0,5,3,0
804,1,24,23,12,5,0.0,6,5,0
