id,Gender,Age,City,Profession,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction,Outlier_IQR
2,1,33,49,12,5,0.0,9,2.0,0,False
8,0,24,18,12,2,0.0,6,5.0,0,False
26,1,31,42,12,3,0.0,7,5.0,0,False
30,0,28,47,12,3,0.0,6,2.0,0,False
32,0,25,17,12,4,0.0,8,3.0,0,False
33,1,29,37,12,2,0.0,6,3.0,0,False
52,1,30,44,12,3,0.0,10,4.0,0,False
56,0,30,7,12,2,0.0,8,4.0,0,False
59,1,28,31,12,3,0.0,10,1.0,0,False
62,1,75,35,12,2,0.0,8,3.0,0,True
83,1,24,31,12,3,0.0,6,3.0109359254550734,0,False
91,1,33,46,12,3,0.0,7,4.0,0,False
94,1,27,18,12,5,0.0,7,1.0,0,False
100,0,19,38,12,2,0.0,9,4.0,0,False
103,0,19,18,12,5,0.0,6,5.0,0,False
106,1,29,42,12,3,0.0,9,3.0,0,False
120,1,25,35,12,5,0.0,7,2.0,0,False
132,0,20,18,12,5,0.0,7,3.0,0,False
139,1,19,7,12,2,0.0,8,2.0,0,False
145,1,25,18,12,3,0.0,10,3.0,0,False
161,1,29,21,12,3,0.0,9,2.882092139426348,0,False
162,1,29,21,12,3,0.0,7,3.0,0,False
166,0,25,18,12,3,0.0,6,3.0,0,False
172,1,23,18,12,1,0.0,9,4.0,0,False
173,1,18,4,12,4,0.0,7,3.0,0,False
176,0,20,18,12,5,0.0,9,5.0,0,False
186,1,31,3,12,2,0.0,6,5.0,0,False
193,1,25,18,12,3,0.0,7,3.0,0,False
208,1,33,16,12,5,0.0,6,2.0,0,False
214,1,28,18,12,3,0.0,10,3.0,0,False
222,1,18,43,12,4,0.0,7,5.0,0,False
232,1,18,49,12,2,0.0,6,3.0,0,False
239,1,21,17,12,1,0.0,7,3.1827013687928094,0,False
240,0,31,18,12,1,0.0,6,3.0,0,False
242,1,21,43,12,1,0.0,8,3.1349720858488235,0,False
253,0,25,18,12,1,0.0,6,3.0,0,False
255,0,21,6,12,5,0.0,10,2.0,0,False
263,1,28,42,12,5,0.0,6,3.0,0,False
270,1,28,44,12,1,0.0,10,2.0,0,False
273,1,25,27,12,3,0.0,7,4.0,0,False
274,0,20,44,12,3,0.0,7,2.0,0,False
